1,Bill Gates: AI is most important tech advance in decades.,"Tue, 21 Mar 2023 07:00:00 GMT",BBC,https://www.bbc.com,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy90ZWNobm9sb2d5LTY1MDMyODQ40gEwaHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3RlY2hub2xvZ3ktNjUwMzI4NDguYW1w?oc=5

3,AI: China tech giant Alibaba to roll out ChatGPT rival.,"Tue, 11 Apr 2023 05:34:25 GMT",BBC,https://www.bbc.com,https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02NTIzNjg0ONIBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02NTIzNjg0OC5hbXA?oc=5

4,Suspect Nima Momeni held over Cash App founder's death.,"Fri, 14 Apr 2023 10:38:59 GMT",BBC,https://www.bbc.com,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC11cy1jYW5hZGEtNjUyNTc4MDbSATVodHRwczovL3d3dy5iYmMuY29tL25ld3Mvd29ybGQtdXMtY2FuYWRhLTY1MjU3ODA2LmFtcA?oc=5

5,AI could replace equivalent of 300 million jobs - report.,"Tue, 28 Mar 2023 07:00:00 GMT",BBC,https://www.bbc.com,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy90ZWNobm9sb2d5LTY1MTAyMTUw0gEwaHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3RlY2hub2xvZ3ktNjUxMDIxNTAuYW1w?oc=5

6,Elon Musk among experts urging a halt to AI training.,"Thu, 30 Mar 2023 07:00:00 GMT",BBC,https://www.bbc.com,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy90ZWNobm9sb2d5LTY1MTEwMDMw0gEwaHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3RlY2hub2xvZ3ktNjUxMTAwMzAuYW1w?oc=5

